ds,Actual,Prophet,Prophet (Walk-Forward)
2019-07-23,6967429.262,7153774.748150849,7187869.815095972
2019-07-24,7213338.7760000015,7165125.268806925,7195476.866798973
2019-07-25,7014480.997,7146684.581142357,7193617.82484301
2019-07-26,7060453.734,6969507.140146245,7034362.819839318
2019-07-27,6086019.794,6321280.667001431,6391224.3615275845
2019-07-28,6020284.2710000025,6202086.667651324,6279688.207476874
2019-07-29,6782594.442000003,6961449.581132247,7031335.116202601
2019-07-30,7117140.864,7049843.984145282,7119234.021229796
2019-07-31,7430637.864,7111183.553776207,7181501.4765764335
2019-08-01,7218502.656,7141693.699594375,7225556.264568586
2019-08-02,7010434.918,7007439.8384676045,7102001.312147174
2019-08-03,6366503.597,6391437.471025953,6473861.209786743
2019-08-04,6289650.517000001,6289834.552484501,6370258.0769210365
2019-08-05,6812247.767000001,7049345.197081574,7116636.598276335
2019-08-06,7524862.652000003,7119066.932748094,7175473.896580896
2019-08-07,7152507.204,7143171.606800485,7205395.621726373
2019-08-08,7384121.1110000005,7119845.555349626,7178684.369455118
2019-08-09,8153366.408,6918735.324803072,7001144.728320964
2019-08-10,7668823.9470000025,6227822.551678793,6328824.401999922
2019-08-11,7242314.534,6049230.4368595425,6197252.432247503
2019-08-12,7754138.865,6736167.2492592875,6892862.74199138
2019-08-13,7565828.696,6744178.355062552,6922879.398364404
2019-08-14,7370075.488,6723245.993700533,6910211.228105776
2019-08-15,7276349.784,6676167.077925362,6860098.606712687
2019-08-16,7072285.905,6475520.347698708,6676610.113914974
2019-08-17,5942329.6039999975,5810196.359583715,6002919.7015405595
2019-08-18,6060992.991,5681032.123290101,5857748.490976309
2019-08-19,7521062.2,6437780.15232619,6590279.056573494
2019-08-20,7150118.772999999,6530589.495040887,6686438.588960708
2019-08-21,6626205.182,6602524.2974788975,6745941.142569633
2019-08-22,6733957.719,6648517.27246579,6775188.795068458
2019-08-23,6739401.121,6533019.794008596,6665965.410145178
2019-08-24,5965455.949,5937260.150666696,6053167.731489941
2019-08-25,6067609.669,5855583.299890633,5969392.025878937
2019-08-26,6883138.363,6633033.604494241,6736533.744072693
2019-08-27,6836861.6,6717296.926342081,6824833.249116629
2019-08-28,7463465.596,6751479.92239505,6857770.51059056
2019-08-29,7210021.425,6733094.872794751,6861012.926266508
2019-08-30,6976176.277000003,6531504.757996628,6693571.009143149
2019-08-31,5797512.6,5834756.335767016,5995564.623047228
2019-09-01,5660741.539,5645312.795876642,5813292.435027341
2019-09-02,6088343.802,6316904.2200921485,6471223.292530187
2019-09-03,5556963.042,6305681.991964105,6447279.7358175935
2019-09-04,5651699.6060000025,6262230.870565571,6372602.948153505
2019-09-05,5506717.743,6189881.377284909,6283870.918630863
2019-09-06,5914214.3889999995,5961642.406617125,6051466.946557998
2019-09-07,6109043.2639999995,5266731.183417477,5338539.1947113685
2019-09-08,6380779.6510000015,5106240.592680711,5205795.466497794
2019-09-09,7271594.515,5830166.687957787,5952052.596195999
2019-09-10,6649148.279,5888962.766336147,6035322.531622119
2019-09-11,6075594.529,5926131.713375016,6088430.565021983
2019-09-12,5937773.9789999975,5937239.416818515,6103010.578639207
2019-09-13,5819504.75,5787597.753382805,5965088.702061365
2019-09-14,4819184.694,5159518.789547592,5322146.80734147
2019-09-15,5076432.41,5048608.544009524,5209795.125026898
2019-09-16,6103512.645,5801262.66821518,5953502.8591214735
2019-09-17,6294666.488,5866487.39089818,6005642.360094868
2019-09-18,5950261.544,5888536.061924122,6030259.337234824
2019-09-19,5298729.4,5865746.30630059,6005455.803259758
2019-09-20,4837218.297,5667851.439703306,5801291.7695020465
2019-09-21,4467588.113,4982712.759796092,5084926.446748883
2019-09-22,4828496.704,4812000.653873125,4907563.671324411
2019-09-23,5985078.502,5508054.375817765,5593890.9968242
2019-09-24,6124935.631,5525111.767443007,5618350.2275213525
2019-09-25,5885741.235,5511460.231910537,5615523.223879799
2019-09-26,5357014.025,5467941.491868672,5580130.536682416
2019-09-27,5219544.62,5265112.967971683,5396957.702485875
2019-09-28,5036389.054,4590020.486026076,4709214.307809978
2019-09-29,4993439.774,4442096.911455013,4590526.19680989
2019-09-30,6030581.529,5170383.856949337,5326948.8631230015
