SETTD,DAILYT
2016-01-11,5843982.504
2016-01-12,5393557.333
2016-01-13,7516265.495
2016-01-14,5096322.523
2016-01-15,4586070.944
2016-01-16,3982969.505
2016-01-17,4668703.842
2016-01-18,6624092.37
2016-01-19,6317572.596
2016-01-20,6118304.464
2016-01-21,5672136.34
2016-01-22,5121920.558
2016-01-23,4221337.877
2016-01-24,4040356.932
2016-01-25,4690908.055
2016-01-26,4557521.763
2016-01-27,5844271.07
2016-01-28,5750663.0260000015
2016-01-29,4977729.113
2016-01-30,4206066.169
2016-01-31,4106328.091
2016-02-01,4936389.484
2016-02-02,5716300.988
2016-02-03,5135805.902
2016-02-04,4915850.129
2016-02-05,5317764.948
2016-02-06,5399276.621
2016-02-07,5513710.115
2016-02-08,5409994.694
2016-02-09,5322354.307
2016-02-10,5326908.803
2016-02-11,5327113.744
2016-02-12,5442125.533
2016-02-13,5074839.166
2016-02-14,4374351.16
2016-02-15,5113789.903
2016-02-16,4885266.077
2016-02-17,4909027.045
2016-02-18,4978145.328
2016-02-19,4942017.402
2016-02-20,4151917.496
2016-02-21,4212495.716
2016-02-22,5131230.6680000005
2016-02-23,7056923.611000001
2016-02-24,6519087.411
2016-02-25,5860370.328
2016-02-26,5140104.747
2016-02-27,4410429.755
2016-02-28,4263011.067
2016-02-29,5140076.473
2016-03-01,6066348.536
2016-03-02,6232014.418
2016-03-03,5547262.405
2016-03-04,6394583.168
2016-03-05,4938432.738
2016-03-06,4820768.74
2016-03-07,5448986.423
2016-03-08,7487068.534
2016-03-09,6862239.68
2016-03-10,5455659.204
2016-03-11,5901956.226
2016-03-12,4603494.033
2016-03-13,4236832.737
2016-03-14,4314497.937
2016-03-15,5211981.267
2016-03-16,5726972.271000002
2016-03-17,6623583.455
2016-03-18,5289200.869
2016-03-19,4364433.9010000015
2016-03-20,4167404.168
2016-03-21,4929728.765
2016-03-22,5009849.619
2016-03-23,5082270.907
2016-03-24,4964100.134
2016-03-25,3966938.901
2016-03-26,3920207.592
2016-03-27,3729923.053
2016-03-28,4065656.398
2016-03-29,4976496.771000002
2016-03-30,5049737.866
2016-03-31,4965409.419
2016-04-01,4910377.369
2016-04-02,4302808.437
2016-04-03,4211881.154
2016-04-04,4959360.5430000005
2016-04-05,5053563.065
2016-04-06,5237168.704
2016-04-07,5210507.362
2016-04-08,5134208.1910000015
2016-04-09,4484523.254
2016-04-10,4337438.05
2016-04-11,5064435.24
2016-04-12,5124030.837
2016-04-13,5130195.002
2016-04-14,5107679.821
